Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert;;Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert;;Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert
Sommer;Montag - Freitag;00:00;00:15;0.057;;Übergangszeit;Montag - Freitag;00:00;00:15;0.061;;Winter;Montag - Freitag;00:00;00:15;0.062
Sommer;Montag - Freitag;00:15;00:30;0.052;;Übergangszeit;Montag - Freitag;00:15;00:30;0.055;;Winter;Montag - Freitag;00:15;00:30;0.056
Sommer;Montag - Freitag;00:30;00:45;0.048;;Übergangszeit;Montag - Freitag;00:30;00:45;0.05;;Winter;Montag - Freitag;00:30;00:45;0.05
Sommer;Montag - Freitag;00:45;01:00;0.045;;Übergangszeit;Montag - Freitag;00:45;01:00;0.046;;Winter;Montag - Freitag;00:45;01:00;0.046
Sommer;Montag - Freitag;01:00;01:15;0.043;;Übergangszeit;Montag - Freitag;01:00;01:15;0.044;;Winter;Montag - Freitag;01:00;01:15;0.044
Sommer;Montag - Freitag;01:15;01:30;0.042;;Übergangszeit;Montag - Freitag;01:15;01:30;0.042;;Winter;Montag - Freitag;01:15;01:30;0.043
Sommer;Montag - Freitag;01:30;01:45;0.041;;Übergangszeit;Montag - Freitag;01:30;01:45;0.041;;Winter;Montag - Freitag;01:30;01:45;0.043
Sommer;Montag - Freitag;01:45;02:00;0.04;;Übergangszeit;Montag - Freitag;01:45;02:00;0.04;;Winter;Montag - Freitag;01:45;02:00;0.043
Sommer;Montag - Freitag;02:00;02:15;0.04;;Übergangszeit;Montag - Freitag;02:00;02:15;0.04;;Winter;Montag - Freitag;02:00;02:15;0.042
Sommer;Montag - Freitag;02:15;02:30;0.039;;Übergangszeit;Montag - Freitag;02:15;02:30;0.039;;Winter;Montag - Freitag;02:15;02:30;0.042
Sommer;Montag - Freitag;02:30;02:45;0.038;;Übergangszeit;Montag - Freitag;02:30;02:45;0.038;;Winter;Montag - Freitag;02:30;02:45;0.041
Sommer;Montag - Freitag;02:45;03:00;0.038;;Übergangszeit;Montag - Freitag;02:45;03:00;0.038;;Winter;Montag - Freitag;02:45;03:00;0.04
Sommer;Montag - Freitag;03:00;03:15;0.038;;Übergangszeit;Montag - Freitag;03:00;03:15;0.038;;Winter;Montag - Freitag;03:00;03:15;0.04
Sommer;Montag - Freitag;03:15;03:30;0.038;;Übergangszeit;Montag - Freitag;03:15;03:30;0.038;;Winter;Montag - Freitag;03:15;03:30;0.04
Sommer;Montag - Freitag;03:30;03:45;0.038;;Übergangszeit;Montag - Freitag;03:30;03:45;0.038;;Winter;Montag - Freitag;03:30;03:45;0.04
Sommer;Montag - Freitag;03:45;04:00;0.038;;Übergangszeit;Montag - Freitag;03:45;04:00;0.038;;Winter;Montag - Freitag;03:45;04:00;0.04
Sommer;Montag - Freitag;04:00;04:15;0.038;;Übergangszeit;Montag - Freitag;04:00;04:15;0.038;;Winter;Montag - Freitag;04:00;04:15;0.04
Sommer;Montag - Freitag;04:15;04:30;0.037;;Übergangszeit;Montag - Freitag;04:15;04:30;0.037;;Winter;Montag - Freitag;04:15;04:30;0.04
Sommer;Montag - Freitag;04:30;04:45;0.037;;Übergangszeit;Montag - Freitag;04:30;04:45;0.037;;Winter;Montag - Freitag;04:30;04:45;0.04
Sommer;Montag - Freitag;04:45;05:00;0.037;;Übergangszeit;Montag - Freitag;04:45;05:00;0.037;;Winter;Montag - Freitag;04:45;05:00;0.04
Sommer;Montag - Freitag;05:00;05:15;0.038;;Übergangszeit;Montag - Freitag;05:00;05:15;0.037;;Winter;Montag - Freitag;05:00;05:15;0.041
Sommer;Montag - Freitag;05:15;05:30;0.039;;Übergangszeit;Montag - Freitag;05:15;05:30;0.038;;Winter;Montag - Freitag;05:15;05:30;0.042
Sommer;Montag - Freitag;05:30;05:45;0.04;;Übergangszeit;Montag - Freitag;05:30;05:45;0.039;;Winter;Montag - Freitag;05:30;05:45;0.042
Sommer;Montag - Freitag;05:45;06:00;0.04;;Übergangszeit;Montag - Freitag;05:45;06:00;0.039;;Winter;Montag - Freitag;05:45;06:00;0.043
Sommer;Montag - Freitag;06:00;06:15;0.041;;Übergangszeit;Montag - Freitag;06:00;06:15;0.04;;Winter;Montag - Freitag;06:00;06:15;0.043
Sommer;Montag - Freitag;06:15;06:30;0.041;;Übergangszeit;Montag - Freitag;06:15;06:30;0.04;;Winter;Montag - Freitag;06:15;06:30;0.043
Sommer;Montag - Freitag;06:30;06:45;0.042;;Übergangszeit;Montag - Freitag;06:30;06:45;0.041;;Winter;Montag - Freitag;06:30;06:45;0.044
Sommer;Montag - Freitag;06:45;07:00;0.043;;Übergangszeit;Montag - Freitag;06:45;07:00;0.043;;Winter;Montag - Freitag;06:45;07:00;0.045
Sommer;Montag - Freitag;07:00;07:15;0.045;;Übergangszeit;Montag - Freitag;07:00;07:15;0.045;;Winter;Montag - Freitag;07:00;07:15;0.048
Sommer;Montag - Freitag;07:15;07:30;0.048;;Übergangszeit;Montag - Freitag;07:15;07:30;0.048;;Winter;Montag - Freitag;07:15;07:30;0.052
Sommer;Montag - Freitag;07:30;07:45;0.053;;Übergangszeit;Montag - Freitag;07:30;07:45;0.052;;Winter;Montag - Freitag;07:30;07:45;0.057
Sommer;Montag - Freitag;07:45;08:00;0.058;;Übergangszeit;Montag - Freitag;07:45;08:00;0.057;;Winter;Montag - Freitag;07:45;08:00;0.064
Sommer;Montag - Freitag;08:00;08:15;0.064;;Übergangszeit;Montag - Freitag;08:00;08:15;0.062;;Winter;Montag - Freitag;08:00;08:15;0.071
Sommer;Montag - Freitag;08:15;08:30;0.07;;Übergangszeit;Montag - Freitag;08:15;08:30;0.067;;Winter;Montag - Freitag;08:15;08:30;0.079
Sommer;Montag - Freitag;08:30;08:45;0.075;;Übergangszeit;Montag - Freitag;08:30;08:45;0.073;;Winter;Montag - Freitag;08:30;08:45;0.087
Sommer;Montag - Freitag;08:45;09:00;0.08;;Übergangszeit;Montag - Freitag;08:45;09:00;0.079;;Winter;Montag - Freitag;08:45;09:00;0.094
Sommer;Montag - Freitag;09:00;09:15;0.083;;Übergangszeit;Montag - Freitag;09:00;09:15;0.083;;Winter;Montag - Freitag;09:00;09:15;0.099
Sommer;Montag - Freitag;09:15;09:30;0.085;;Übergangszeit;Montag - Freitag;09:15;09:30;0.088;;Winter;Montag - Freitag;09:15;09:30;0.103
Sommer;Montag - Freitag;09:30;09:45;0.088;;Übergangszeit;Montag - Freitag;09:30;09:45;0.093;;Winter;Montag - Freitag;09:30;09:45;0.106
Sommer;Montag - Freitag;09:45;10:00;0.091;;Übergangszeit;Montag - Freitag;09:45;10:00;0.098;;Winter;Montag - Freitag;09:45;10:00;0.111
Sommer;Montag - Freitag;10:00;10:15;0.097;;Übergangszeit;Montag - Freitag;10:00;10:15;0.104;;Winter;Montag - Freitag;10:00;10:15;0.117
Sommer;Montag - Freitag;10:15;10:30;0.103;;Übergangszeit;Montag - Freitag;10:15;10:30;0.112;;Winter;Montag - Freitag;10:15;10:30;0.124
Sommer;Montag - Freitag;10:30;10:45;0.112;;Übergangszeit;Montag - Freitag;10:30;10:45;0.121;;Winter;Montag - Freitag;10:30;10:45;0.134
Sommer;Montag - Freitag;10:45;11:00;0.121;;Übergangszeit;Montag - Freitag;10:45;11:00;0.132;;Winter;Montag - Freitag;10:45;11:00;0.146
Sommer;Montag - Freitag;11:00;11:15;0.131;;Übergangszeit;Montag - Freitag;11:00;11:15;0.145;;Winter;Montag - Freitag;11:00;11:15;0.159
Sommer;Montag - Freitag;11:15;11:30;0.141;;Übergangszeit;Montag - Freitag;11:15;11:30;0.158;;Winter;Montag - Freitag;11:15;11:30;0.173
Sommer;Montag - Freitag;11:30;11:45;0.15;;Übergangszeit;Montag - Freitag;11:30;11:45;0.17;;Winter;Montag - Freitag;11:30;11:45;0.184
Sommer;Montag - Freitag;11:45;12:00;0.156;;Übergangszeit;Montag - Freitag;11:45;12:00;0.179;;Winter;Montag - Freitag;11:45;12:00;0.192
Sommer;Montag - Freitag;12:00;12:15;0.159;;Übergangszeit;Montag - Freitag;12:00;12:15;0.183;;Winter;Montag - Freitag;12:00;12:15;0.193
Sommer;Montag - Freitag;12:15;12:30;0.159;;Übergangszeit;Montag - Freitag;12:15;12:30;0.183;;Winter;Montag - Freitag;12:15;12:30;0.191
Sommer;Montag - Freitag;12:30;12:45;0.158;;Übergangszeit;Montag - Freitag;12:30;12:45;0.18;;Winter;Montag - Freitag;12:30;12:45;0.187
Sommer;Montag - Freitag;12:45;13:00;0.155;;Übergangszeit;Montag - Freitag;12:45;13:00;0.177;;Winter;Montag - Freitag;12:45;13:00;0.182
Sommer;Montag - Freitag;13:00;13:15;0.151;;Übergangszeit;Montag - Freitag;13:00;13:15;0.174;;Winter;Montag - Freitag;13:00;13:15;0.18
Sommer;Montag - Freitag;13:15;13:30;0.147;;Übergangszeit;Montag - Freitag;13:15;13:30;0.17;;Winter;Montag - Freitag;13:15;13:30;0.178
Sommer;Montag - Freitag;13:30;13:45;0.142;;Übergangszeit;Montag - Freitag;13:30;13:45;0.165;;Winter;Montag - Freitag;13:30;13:45;0.174
Sommer;Montag - Freitag;13:45;14:00;0.135;;Übergangszeit;Montag - Freitag;13:45;14:00;0.158;;Winter;Montag - Freitag;13:45;14:00;0.167
Sommer;Montag - Freitag;14:00;14:15;0.127;;Übergangszeit;Montag - Freitag;14:00;14:15;0.148;;Winter;Montag - Freitag;14:00;14:15;0.156
Sommer;Montag - Freitag;14:15;14:30;0.118;;Übergangszeit;Montag - Freitag;14:15;14:30;0.137;;Winter;Montag - Freitag;14:15;14:30;0.143
Sommer;Montag - Freitag;14:30;14:45;0.109;;Übergangszeit;Montag - Freitag;14:30;14:45;0.125;;Winter;Montag - Freitag;14:30;14:45;0.13
Sommer;Montag - Freitag;14:45;15:00;0.103;;Übergangszeit;Montag - Freitag;14:45;15:00;0.115;;Winter;Montag - Freitag;14:45;15:00;0.12
Sommer;Montag - Freitag;15:00;15:15;0.099;;Übergangszeit;Montag - Freitag;15:00;15:15;0.109;;Winter;Montag - Freitag;15:00;15:15;0.115
Sommer;Montag - Freitag;15:15;15:30;0.097;;Übergangszeit;Montag - Freitag;15:15;15:30;0.105;;Winter;Montag - Freitag;15:15;15:30;0.113
Sommer;Montag - Freitag;15:30;15:45;0.097;;Übergangszeit;Montag - Freitag;15:30;15:45;0.103;;Winter;Montag - Freitag;15:30;15:45;0.114
Sommer;Montag - Freitag;15:45;16:00;0.098;;Übergangszeit;Montag - Freitag;15:45;16:00;0.103;;Winter;Montag - Freitag;15:45;16:00;0.115
Sommer;Montag - Freitag;16:00;16:15;0.099;;Übergangszeit;Montag - Freitag;16:00;16:15;0.103;;Winter;Montag - Freitag;16:00;16:15;0.116
Sommer;Montag - Freitag;16:15;16:30;0.101;;Übergangszeit;Montag - Freitag;16:15;16:30;0.104;;Winter;Montag - Freitag;16:15;16:30;0.117
Sommer;Montag - Freitag;16:30;16:45;0.103;;Übergangszeit;Montag - Freitag;16:30;16:45;0.106;;Winter;Montag - Freitag;16:30;16:45;0.119
Sommer;Montag - Freitag;16:45;17:00;0.106;;Übergangszeit;Montag - Freitag;16:45;17:00;0.111;;Winter;Montag - Freitag;16:45;17:00;0.124
Sommer;Montag - Freitag;17:00;17:15;0.111;;Übergangszeit;Montag - Freitag;17:00;17:15;0.118;;Winter;Montag - Freitag;17:00;17:15;0.132
Sommer;Montag - Freitag;17:15;17:30;0.116;;Übergangszeit;Montag - Freitag;17:15;17:30;0.127;;Winter;Montag - Freitag;17:15;17:30;0.143
Sommer;Montag - Freitag;17:30;17:45;0.121;;Übergangszeit;Montag - Freitag;17:30;17:45;0.137;;Winter;Montag - Freitag;17:30;17:45;0.155
Sommer;Montag - Freitag;17:45;18:00;0.127;;Übergangszeit;Montag - Freitag;17:45;18:00;0.148;;Winter;Montag - Freitag;17:45;18:00;0.165
Sommer;Montag - Freitag;18:00;18:15;0.132;;Übergangszeit;Montag - Freitag;18:00;18:15;0.158;;Winter;Montag - Freitag;18:00;18:15;0.173
Sommer;Montag - Freitag;18:15;18:30;0.137;;Übergangszeit;Montag - Freitag;18:15;18:30;0.166;;Winter;Montag - Freitag;18:15;18:30;0.179
Sommer;Montag - Freitag;18:30;18:45;0.141;;Übergangszeit;Montag - Freitag;18:30;18:45;0.174;;Winter;Montag - Freitag;18:30;18:45;0.184
Sommer;Montag - Freitag;18:45;19:00;0.146;;Übergangszeit;Montag - Freitag;18:45;19:00;0.179;;Winter;Montag - Freitag;18:45;19:00;0.187
Sommer;Montag - Freitag;19:00;19:15;0.149;;Übergangszeit;Montag - Freitag;19:00;19:15;0.182;;Winter;Montag - Freitag;19:00;19:15;0.19
Sommer;Montag - Freitag;19:15;19:30;0.152;;Übergangszeit;Montag - Freitag;19:15;19:30;0.184;;Winter;Montag - Freitag;19:15;19:30;0.192
Sommer;Montag - Freitag;19:30;19:45;0.154;;Übergangszeit;Montag - Freitag;19:30;19:45;0.185;;Winter;Montag - Freitag;19:30;19:45;0.194
Sommer;Montag - Freitag;19:45;20:00;0.156;;Übergangszeit;Montag - Freitag;19:45;20:00;0.186;;Winter;Montag - Freitag;19:45;20:00;0.195
Sommer;Montag - Freitag;20:00;20:15;0.156;;Übergangszeit;Montag - Freitag;20:00;20:15;0.187;;Winter;Montag - Freitag;20:00;20:15;0.196
Sommer;Montag - Freitag;20:15;20:30;0.156;;Übergangszeit;Montag - Freitag;20:15;20:30;0.188;;Winter;Montag - Freitag;20:15;20:30;0.196
Sommer;Montag - Freitag;20:30;20:45;0.155;;Übergangszeit;Montag - Freitag;20:30;20:45;0.188;;Winter;Montag - Freitag;20:30;20:45;0.195
Sommer;Montag - Freitag;20:45;21:00;0.154;;Übergangszeit;Montag - Freitag;20:45;21:00;0.187;;Winter;Montag - Freitag;20:45;21:00;0.192
Sommer;Montag - Freitag;21:00;21:15;0.152;;Übergangszeit;Montag - Freitag;21:00;21:15;0.184;;Winter;Montag - Freitag;21:00;21:15;0.187
Sommer;Montag - Freitag;21:15;21:30;0.15;;Übergangszeit;Montag - Freitag;21:15;21:30;0.179;;Winter;Montag - Freitag;21:15;21:30;0.18
Sommer;Montag - Freitag;21:30;21:45;0.146;;Übergangszeit;Montag - Freitag;21:30;21:45;0.171;;Winter;Montag - Freitag;21:30;21:45;0.171
Sommer;Montag - Freitag;21:45;22:00;0.14;;Übergangszeit;Montag - Freitag;21:45;22:00;0.162;;Winter;Montag - Freitag;21:45;22:00;0.161
Sommer;Montag - Freitag;22:00;22:15;0.13;;Übergangszeit;Montag - Freitag;22:00;22:15;0.15;;Winter;Montag - Freitag;22:00;22:15;0.148
Sommer;Montag - Freitag;22:15;22:30;0.119;;Übergangszeit;Montag - Freitag;22:15;22:30;0.136;;Winter;Montag - Freitag;22:15;22:30;0.133
Sommer;Montag - Freitag;22:30;22:45;0.106;;Übergangszeit;Montag - Freitag;22:30;22:45;0.122;;Winter;Montag - Freitag;22:30;22:45;0.119
Sommer;Montag - Freitag;22:45;23:00;0.095;;Übergangszeit;Montag - Freitag;22:45;23:00;0.109;;Winter;Montag - Freitag;22:45;23:00;0.106
Sommer;Montag - Freitag;23:00;23:15;0.085;;Übergangszeit;Montag - Freitag;23:00;23:15;0.096;;Winter;Montag - Freitag;23:00;23:15;0.095
Sommer;Montag - Freitag;23:15;23:30;0.076;;Übergangszeit;Montag - Freitag;23:15;23:30;0.086;;Winter;Montag - Freitag;23:15;23:30;0.085
Sommer;Montag - Freitag;23:30;23:45;0.069;;Übergangszeit;Montag - Freitag;23:30;23:45;0.076;;Winter;Montag - Freitag;23:30;23:45;0.077
Sommer;Montag - Freitag;23:45;00:00;0.062;;Übergangszeit;Montag - Freitag;23:45;00:00;0.068;;Winter;Montag - Freitag;23:45;00:00;0.069
Sommer;Samstag;00:00;00:15;0.06;;Übergangszeit;Samstag;00:00;00:15;0.065;;Winter;Samstag;00:00;00:15;0.067
Sommer;Samstag;00:15;00:30;0.059;;Übergangszeit;Samstag;00:15;00:30;0.063;;Winter;Samstag;00:15;00:30;0.068
Sommer;Samstag;00:30;00:45;0.059;;Übergangszeit;Samstag;00:30;00:45;0.063;;Winter;Samstag;00:30;00:45;0.069
Sommer;Samstag;00:45;01:00;0.059;;Übergangszeit;Samstag;00:45;01:00;0.062;;Winter;Samstag;00:45;01:00;0.068
Sommer;Samstag;01:00;01:15;0.057;;Übergangszeit;Samstag;01:00;01:15;0.06;;Winter;Samstag;01:00;01:15;0.065
Sommer;Samstag;01:15;01:30;0.054;;Übergangszeit;Samstag;01:15;01:30;0.057;;Winter;Samstag;01:15;01:30;0.061
Sommer;Samstag;01:30;01:45;0.051;;Übergangszeit;Samstag;01:30;01:45;0.054;;Winter;Samstag;01:30;01:45;0.056
Sommer;Samstag;01:45;02:00;0.049;;Übergangszeit;Samstag;01:45;02:00;0.051;;Winter;Samstag;01:45;02:00;0.052
Sommer;Samstag;02:00;02:15;0.047;;Übergangszeit;Samstag;02:00;02:15;0.048;;Winter;Samstag;02:00;02:15;0.049
Sommer;Samstag;02:15;02:30;0.045;;Übergangszeit;Samstag;02:15;02:30;0.046;;Winter;Samstag;02:15;02:30;0.048
Sommer;Samstag;02:30;02:45;0.044;;Übergangszeit;Samstag;02:30;02:45;0.044;;Winter;Samstag;02:30;02:45;0.048
Sommer;Samstag;02:45;03:00;0.044;;Übergangszeit;Samstag;02:45;03:00;0.043;;Winter;Samstag;02:45;03:00;0.047
Sommer;Samstag;03:00;03:15;0.043;;Übergangszeit;Samstag;03:00;03:15;0.042;;Winter;Samstag;03:00;03:15;0.047
Sommer;Samstag;03:15;03:30;0.043;;Übergangszeit;Samstag;03:15;03:30;0.041;;Winter;Samstag;03:15;03:30;0.046
Sommer;Samstag;03:30;03:45;0.042;;Übergangszeit;Samstag;03:30;03:45;0.04;;Winter;Samstag;03:30;03:45;0.046
Sommer;Samstag;03:45;04:00;0.042;;Übergangszeit;Samstag;03:45;04:00;0.039;;Winter;Samstag;03:45;04:00;0.045
Sommer;Samstag;04:00;04:15;0.041;;Übergangszeit;Samstag;04:00;04:15;0.039;;Winter;Samstag;04:00;04:15;0.044
Sommer;Samstag;04:15;04:30;0.039;;Übergangszeit;Samstag;04:15;04:30;0.039;;Winter;Samstag;04:15;04:30;0.044
Sommer;Samstag;04:30;04:45;0.039;;Übergangszeit;Samstag;04:30;04:45;0.038;;Winter;Samstag;04:30;04:45;0.044
Sommer;Samstag;04:45;05:00;0.038;;Übergangszeit;Samstag;04:45;05:00;0.038;;Winter;Samstag;04:45;05:00;0.044
Sommer;Samstag;05:00;05:15;0.038;;Übergangszeit;Samstag;05:00;05:15;0.038;;Winter;Samstag;05:00;05:15;0.044
Sommer;Samstag;05:15;05:30;0.039;;Übergangszeit;Samstag;05:15;05:30;0.038;;Winter;Samstag;05:15;05:30;0.045
Sommer;Samstag;05:30;05:45;0.04;;Übergangszeit;Samstag;05:30;05:45;0.037;;Winter;Samstag;05:30;05:45;0.045
Sommer;Samstag;05:45;06:00;0.04;;Übergangszeit;Samstag;05:45;06:00;0.037;;Winter;Samstag;05:45;06:00;0.045
Sommer;Samstag;06:00;06:15;0.041;;Übergangszeit;Samstag;06:00;06:15;0.036;;Winter;Samstag;06:00;06:15;0.045
Sommer;Samstag;06:15;06:30;0.042;;Übergangszeit;Samstag;06:15;06:30;0.036;;Winter;Samstag;06:15;06:30;0.044
Sommer;Samstag;06:30;06:45;0.044;;Übergangszeit;Samstag;06:30;06:45;0.037;;Winter;Samstag;06:30;06:45;0.044
Sommer;Samstag;06:45;07:00;0.046;;Übergangszeit;Samstag;06:45;07:00;0.039;;Winter;Samstag;06:45;07:00;0.045
Sommer;Samstag;07:00;07:15;0.049;;Übergangszeit;Samstag;07:00;07:15;0.043;;Winter;Samstag;07:00;07:15;0.048
Sommer;Samstag;07:15;07:30;0.053;;Übergangszeit;Samstag;07:15;07:30;0.049;;Winter;Samstag;07:15;07:30;0.051
Sommer;Samstag;07:30;07:45;0.057;;Übergangszeit;Samstag;07:30;07:45;0.054;;Winter;Samstag;07:30;07:45;0.055
Sommer;Samstag;07:45;08:00;0.061;;Übergangszeit;Samstag;07:45;08:00;0.059;;Winter;Samstag;07:45;08:00;0.06
Sommer;Samstag;08:00;08:15;0.064;;Übergangszeit;Samstag;08:00;08:15;0.063;;Winter;Samstag;08:00;08:15;0.064
Sommer;Samstag;08:15;08:30;0.067;;Übergangszeit;Samstag;08:15;08:30;0.066;;Winter;Samstag;08:15;08:30;0.069
