Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert;;Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert;;Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert
Sommer;Montag - Freitag;00:00;00:15;0.08636;;Übergangszeit;Montag - Freitag;00:00;00:15;0.07776;;Winter;Montag - Freitag;00:00;00:15;0.0676
Sommer;Montag - Freitag;00:15;00:30;0.07696;;Übergangszeit;Montag - Freitag;00:15;00:30;0.06956;;Winter;Montag - Freitag;00:15;00:30;0.06084
Sommer;Montag - Freitag;00:30;00:45;0.06884;;Übergangszeit;Montag - Freitag;00:30;00:45;0.0624;;Winter;Montag - Freitag;00:30;00:45;0.05488
Sommer;Montag - Freitag;00:45;01:00;0.06244;;Übergangszeit;Montag - Freitag;00:45;01:00;0.0566;;Winter;Montag - Freitag;00:45;01:00;0.04992
Sommer;Montag - Freitag;01:00;01:15;0.05804;;Übergangszeit;Montag - Freitag;01:00;01:15;0.05248;;Winter;Montag - Freitag;01:00;01:15;0.04624
Sommer;Montag - Freitag;01:15;01:30;0.05528;;Übergangszeit;Montag - Freitag;01:15;01:30;0.04972;;Winter;Montag - Freitag;01:15;01:30;0.04364
Sommer;Montag - Freitag;01:30;01:45;0.0536;;Übergangszeit;Montag - Freitag;01:30;01:45;0.04788;;Winter;Montag - Freitag;01:30;01:45;0.04192
Sommer;Montag - Freitag;01:45;02:00;0.05244;;Übergangszeit;Montag - Freitag;01:45;02:00;0.0466;;Winter;Montag - Freitag;01:45;02:00;0.0408
Sommer;Montag - Freitag;02:00;02:15;0.05136;;Übergangszeit;Montag - Freitag;02:00;02:15;0.04552;;Winter;Montag - Freitag;02:00;02:15;0.04008
Sommer;Montag - Freitag;02:15;02:30;0.05024;;Übergangszeit;Montag - Freitag;02:15;02:30;0.04456;;Winter;Montag - Freitag;02:15;02:30;0.03964
Sommer;Montag - Freitag;02:30;02:45;0.04924;;Übergangszeit;Montag - Freitag;02:30;02:45;0.0438;;Winter;Montag - Freitag;02:30;02:45;0.03936
Sommer;Montag - Freitag;02:45;03:00;0.04828;;Übergangszeit;Montag - Freitag;02:45;03:00;0.04328;;Winter;Montag - Freitag;02:45;03:00;0.03912
Sommer;Montag - Freitag;03:00;03:15;0.04744;;Übergangszeit;Montag - Freitag;03:00;03:15;0.04304;;Winter;Montag - Freitag;03:00;03:15;0.03884
Sommer;Montag - Freitag;03:15;03:30;0.04684;;Übergangszeit;Montag - Freitag;03:15;03:30;0.043;;Winter;Montag - Freitag;03:15;03:30;0.03856
Sommer;Montag - Freitag;03:30;03:45;0.04656;;Übergangszeit;Montag - Freitag;03:30;03:45;0.04312;;Winter;Montag - Freitag;03:30;03:45;0.03836
Sommer;Montag - Freitag;03:45;04:00;0.0466;;Übergangszeit;Montag - Freitag;03:45;04:00;0.04328;;Winter;Montag - Freitag;03:45;04:00;0.03828
Sommer;Montag - Freitag;04:00;04:15;0.04712;;Übergangszeit;Montag - Freitag;04:00;04:15;0.04344;;Winter;Montag - Freitag;04:00;04:15;0.03844
Sommer;Montag - Freitag;04:15;04:30;0.048;;Übergangszeit;Montag - Freitag;04:15;04:30;0.04372;;Winter;Montag - Freitag;04:15;04:30;0.0388
Sommer;Montag - Freitag;04:30;04:45;0.04924;;Übergangszeit;Montag - Freitag;04:30;04:45;0.04416;;Winter;Montag - Freitag;04:30;04:45;0.03932
Sommer;Montag - Freitag;04:45;05:00;0.05076;;Übergangszeit;Montag - Freitag;04:45;05:00;0.04496;;Winter;Montag - Freitag;04:45;05:00;0.03996
Sommer;Montag - Freitag;05:00;05:15;0.05264;;Übergangszeit;Montag - Freitag;05:00;05:15;0.04628;;Winter;Montag - Freitag;05:00;05:15;0.04088
Sommer;Montag - Freitag;05:15;05:30;0.05564;;Übergangszeit;Montag - Freitag;05:15;05:30;0.04892;;Winter;Montag - Freitag;05:15;05:30;0.04308
Sommer;Montag - Freitag;05:30;05:45;0.06052;;Übergangszeit;Montag - Freitag;05:30;05:45;0.05376;;Winter;Montag - Freitag;05:30;05:45;0.04764
Sommer;Montag - Freitag;05:45;06:00;0.06824;;Übergangszeit;Montag - Freitag;05:45;06:00;0.0616;;Winter;Montag - Freitag;05:45;06:00;0.05576
Sommer;Montag - Freitag;06:00;06:15;0.0792;;Übergangszeit;Montag - Freitag;06:00;06:15;0.07288;;Winter;Montag - Freitag;06:00;06:15;0.068
Sommer;Montag - Freitag;06:15;06:30;0.09196;;Übergangszeit;Montag - Freitag;06:15;06:30;0.08632;;Winter;Montag - Freitag;06:15;06:30;0.0828
Sommer;Montag - Freitag;06:30;06:45;0.10476;;Übergangszeit;Montag - Freitag;06:30;06:45;0.10008;;Winter;Montag - Freitag;06:30;06:45;0.09804
Sommer;Montag - Freitag;06:45;07:00;0.11568;;Übergangszeit;Montag - Freitag;06:45;07:00;0.11236;;Winter;Montag - Freitag;06:45;07:00;0.11152
Sommer;Montag - Freitag;07:00;07:15;0.12344;;Übergangszeit;Montag - Freitag;07:00;07:15;0.1218;;Winter;Montag - Freitag;07:00;07:15;0.12164
Sommer;Montag - Freitag;07:15;07:30;0.12856;;Übergangszeit;Montag - Freitag;07:15;07:30;0.12848;;Winter;Montag - Freitag;07:15;07:30;0.12852
Sommer;Montag - Freitag;07:30;07:45;0.132;;Übergangszeit;Montag - Freitag;07:30;07:45;0.13292;;Winter;Montag - Freitag;07:30;07:45;0.13272
Sommer;Montag - Freitag;07:45;08:00;0.13484;;Übergangszeit;Montag - Freitag;07:45;08:00;0.13568;;Winter;Montag - Freitag;07:45;08:00;0.13484
Sommer;Montag - Freitag;08:00;08:15;0.1378;;Übergangszeit;Montag - Freitag;08:00;08:15;0.13716;;Winter;Montag - Freitag;08:00;08:15;0.13544
Sommer;Montag - Freitag;08:15;08:30;0.14072;;Übergangszeit;Montag - Freitag;08:15;08:30;0.13772;;Winter;Montag - Freitag;08:15;08:30;0.13476
Sommer;Montag - Freitag;08:30;08:45;0.1432;;Übergangszeit;Montag - Freitag;08:30;08:45;0.13768;;Winter;Montag - Freitag;08:30;08:45;0.13312
Sommer;Montag - Freitag;08:45;09:00;0.14484;;Übergangszeit;Montag - Freitag;08:45;09:00;0.13732;;Winter;Montag - Freitag;08:45;09:00;0.13068
Sommer;Montag - Freitag;09:00;09:15;0.14532;;Übergangszeit;Montag - Freitag;09:00;09:15;0.13692;;Winter;Montag - Freitag;09:00;09:15;0.12772
Sommer;Montag - Freitag;09:15;09:30;0.14488;;Übergangszeit;Montag - Freitag;09:15;09:30;0.1364;;Winter;Montag - Freitag;09:15;09:30;0.12456
Sommer;Montag - Freitag;09:30;09:45;0.14376;;Übergangszeit;Montag - Freitag;09:30;09:45;0.13572;;Winter;Montag - Freitag;09:30;09:45;0.12156
Sommer;Montag - Freitag;09:45;10:00;0.14232;;Übergangszeit;Montag - Freitag;09:45;10:00;0.13484;;Winter;Montag - Freitag;09:45;10:00;0.11904
Sommer;Montag - Freitag;10:00;10:15;0.1408;;Übergangszeit;Montag - Freitag;10:00;10:15;0.13368;;Winter;Montag - Freitag;10:00;10:15;0.11724
Sommer;Montag - Freitag;10:15;10:30;0.13948;;Übergangszeit;Montag - Freitag;10:15;10:30;0.13244;;Winter;Montag - Freitag;10:15;10:30;0.1162
Sommer;Montag - Freitag;10:30;10:45;0.13852;;Übergangszeit;Montag - Freitag;10:30;10:45;0.13136;;Winter;Montag - Freitag;10:30;10:45;0.11572
Sommer;Montag - Freitag;10:45;11:00;0.13816;;Übergangszeit;Montag - Freitag;10:45;11:00;0.13068;;Winter;Montag - Freitag;10:45;11:00;0.11568
Sommer;Montag - Freitag;11:00;11:15;0.13864;;Übergangszeit;Montag - Freitag;11:00;11:15;0.13064;;Winter;Montag - Freitag;11:00;11:15;0.11604
Sommer;Montag - Freitag;11:15;11:30;0.14008;;Übergangszeit;Montag - Freitag;11:15;11:30;0.13152;;Winter;Montag - Freitag;11:15;11:30;0.117
Sommer;Montag - Freitag;11:30;11:45;0.14264;;Übergangszeit;Montag - Freitag;11:30;11:45;0.13364;;Winter;Montag - Freitag;11:30;11:45;0.11872
Sommer;Montag - Freitag;11:45;12:00;0.14648;;Übergangszeit;Montag - Freitag;11:45;12:00;0.13732;;Winter;Montag - Freitag;11:45;12:00;0.12152
Sommer;Montag - Freitag;12:00;12:15;0.15152;;Übergangszeit;Montag - Freitag;12:00;12:15;0.1426;;Winter;Montag - Freitag;12:00;12:15;0.1254
Sommer;Montag - Freitag;12:15;12:30;0.15672;;Übergangszeit;Montag - Freitag;12:15;12:30;0.14824;;Winter;Montag - Freitag;12:15;12:30;0.12956
Sommer;Montag - Freitag;12:30;12:45;0.16076;;Übergangszeit;Montag - Freitag;12:30;12:45;0.1528;;Winter;Montag - Freitag;12:30;12:45;0.13304
Sommer;Montag - Freitag;12:45;13:00;0.16232;;Übergangszeit;Montag - Freitag;12:45;13:00;0.1548;;Winter;Montag - Freitag;12:45;13:00;0.13484
Sommer;Montag - Freitag;13:00;13:15;0.16048;;Übergangszeit;Montag - Freitag;13:00;13:15;0.15324;;Winter;Montag - Freitag;13:00;13:15;0.13424
Sommer;Montag - Freitag;13:15;13:30;0.15608;;Übergangszeit;Montag - Freitag;13:15;13:30;0.14892;;Winter;Montag - Freitag;13:15;13:30;0.13172
Sommer;Montag - Freitag;13:30;13:45;0.1502;;Übergangszeit;Montag - Freitag;13:30;13:45;0.14316;;Winter;Montag - Freitag;13:30;13:45;0.12804
Sommer;Montag - Freitag;13:45;14:00;0.144;;Übergangszeit;Montag - Freitag;13:45;14:00;0.13732;;Winter;Montag - Freitag;13:45;14:00;0.124
Sommer;Montag - Freitag;14:00;14:15;0.13844;;Übergangszeit;Montag - Freitag;14:00;14:15;0.1324;;Winter;Montag - Freitag;14:00;14:15;0.12024
Sommer;Montag - Freitag;14:15;14:30;0.1336;;Übergangszeit;Montag - Freitag;14:15;14:30;0.12836;;Winter;Montag - Freitag;14:15;14:30;0.11684
Sommer;Montag - Freitag;14:30;14:45;0.12936;;Übergangszeit;Montag - Freitag;14:30;14:45;0.12484;;Winter;Montag - Freitag;14:30;14:45;0.11364
Sommer;Montag - Freitag;14:45;15:00;0.12568;;Übergangszeit;Montag - Freitag;14:45;15:00;0.12152;;Winter;Montag - Freitag;14:45;15:00;0.11068
Sommer;Montag - Freitag;15:00;15:15;0.12244;;Übergangszeit;Montag - Freitag;15:00;15:15;0.11816;;Winter;Montag - Freitag;15:00;15:15;0.10792
Sommer;Montag - Freitag;15:15;15:30;0.11964;;Übergangszeit;Montag - Freitag;15:15;15:30;0.11484;;Winter;Montag - Freitag;15:15;15:30;0.10544
Sommer;Montag - Freitag;15:30;15:45;0.1174;;Übergangszeit;Montag - Freitag;15:30;15:45;0.11172;;Winter;Montag - Freitag;15:30;15:45;0.10356
Sommer;Montag - Freitag;15:45;16:00;0.11568;;Übergangszeit;Montag - Freitag;15:45;16:00;0.10904;;Winter;Montag - Freitag;15:45;16:00;0.10236
Sommer;Montag - Freitag;16:00;16:15;0.11464;;Übergangszeit;Montag - Freitag;16:00;16:15;0.10692;;Winter;Montag - Freitag;16:00;16:15;0.10216
Sommer;Montag - Freitag;16:15;16:30;0.11424;;Übergangszeit;Montag - Freitag;16:15;16:30;0.10568;;Winter;Montag - Freitag;16:15;16:30;0.10316
Sommer;Montag - Freitag;16:30;16:45;0.1146;;Übergangszeit;Montag - Freitag;16:30;16:45;0.10544;;Winter;Montag - Freitag;16:30;16:45;0.10564
Sommer;Montag - Freitag;16:45;17:00;0.11568;;Übergangszeit;Montag - Freitag;16:45;17:00;0.10652;;Winter;Montag - Freitag;16:45;17:00;0.10988
Sommer;Montag - Freitag;17:00;17:15;0.1176;;Übergangszeit;Montag - Freitag;17:00;17:15;0.10908;;Winter;Montag - Freitag;17:00;17:15;0.116
Sommer;Montag - Freitag;17:15;17:30;0.12032;;Übergangszeit;Montag - Freitag;17:15;17:30;0.11304;;Winter;Montag - Freitag;17:15;17:30;0.12372
Sommer;Montag - Freitag;17:30;17:45;0.12388;;Übergangszeit;Montag - Freitag;17:30;17:45;0.11836;;Winter;Montag - Freitag;17:30;17:45;0.13264
Sommer;Montag - Freitag;17:45;18:00;0.12816;;Übergangszeit;Montag - Freitag;17:45;18:00;0.12484;;Winter;Montag - Freitag;17:45;18:00;0.14232
Sommer;Montag - Freitag;18:00;18:15;0.13324;;Übergangszeit;Montag - Freitag;18:00;18:15;0.1324;;Winter;Montag - Freitag;18:00;18:15;0.15236
