Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert;;Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert;;Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert
Sommer;Montag - Freitag;00:00;00:15;0.05768;;Übergangszeit;Montag - Freitag;00:00;00:15;0.0644;;Winter;Montag - Freitag;00:00;00:15;0.06664
Sommer;Montag - Freitag;00:15;00:30;0.05616;;Übergangszeit;Montag - Freitag;00:15;00:30;0.06256;;Winter;Montag - Freitag;00:15;00:30;0.0648
Sommer;Montag - Freitag;00:30;00:45;0.05488;;Übergangszeit;Montag - Freitag;00:30;00:45;0.061;;Winter;Montag - Freitag;00:30;00:45;0.06324
Sommer;Montag - Freitag;00:45;01:00;0.05376;;Übergangszeit;Montag - Freitag;00:45;01:00;0.0596;;Winter;Montag - Freitag;00:45;01:00;0.06192
Sommer;Montag - Freitag;01:00;01:15;0.0526;;Übergangszeit;Montag - Freitag;01:00;01:15;0.0582;;Winter;Montag - Freitag;01:00;01:15;0.0608
Sommer;Montag - Freitag;01:15;01:30;0.05156;;Übergangszeit;Montag - Freitag;01:15;01:30;0.057;;Winter;Montag - Freitag;01:15;01:30;0.0598
Sommer;Montag - Freitag;01:30;01:45;0.05076;;Übergangszeit;Montag - Freitag;01:30;01:45;0.05624;;Winter;Montag - Freitag;01:30;01:45;0.05904
Sommer;Montag - Freitag;01:45;02:00;0.05024;;Übergangszeit;Montag - Freitag;01:45;02:00;0.05608;;Winter;Montag - Freitag;01:45;02:00;0.0584
Sommer;Montag - Freitag;02:00;02:15;0.05008;;Übergangszeit;Montag - Freitag;02:00;02:15;0.05664;;Winter;Montag - Freitag;02:00;02:15;0.058
Sommer;Montag - Freitag;02:15;02:30;0.0502;;Übergangszeit;Montag - Freitag;02:15;02:30;0.05756;;Winter;Montag - Freitag;02:15;02:30;0.05768
Sommer;Montag - Freitag;02:30;02:45;0.05028;;Übergangszeit;Montag - Freitag;02:30;02:45;0.05832;;Winter;Montag - Freitag;02:30;02:45;0.05744
Sommer;Montag - Freitag;02:45;03:00;0.05024;;Übergangszeit;Montag - Freitag;02:45;03:00;0.0584;;Winter;Montag - Freitag;02:45;03:00;0.05724
Sommer;Montag - Freitag;03:00;03:15;0.04984;;Übergangszeit;Montag - Freitag;03:00;03:15;0.05752;;Winter;Montag - Freitag;03:00;03:15;0.057
Sommer;Montag - Freitag;03:15;03:30;0.04924;;Übergangszeit;Montag - Freitag;03:15;03:30;0.05592;;Winter;Montag - Freitag;03:15;03:30;0.05672
Sommer;Montag - Freitag;03:30;03:45;0.04856;;Übergangszeit;Montag - Freitag;03:30;03:45;0.05412;;Winter;Montag - Freitag;03:30;03:45;0.05644
Sommer;Montag - Freitag;03:45;04:00;0.04792;;Übergangszeit;Montag - Freitag;03:45;04:00;0.05256;;Winter;Montag - Freitag;03:45;04:00;0.05608
Sommer;Montag - Freitag;04:00;04:15;0.04744;;Übergangszeit;Montag - Freitag;04:00;04:15;0.05168;;Winter;Montag - Freitag;04:00;04:15;0.05572
Sommer;Montag - Freitag;04:15;04:30;0.04724;;Übergangszeit;Montag - Freitag;04:15;04:30;0.05148;;Winter;Montag - Freitag;04:15;04:30;0.05548
Sommer;Montag - Freitag;04:30;04:45;0.04736;;Übergangszeit;Montag - Freitag;04:30;04:45;0.0518;;Winter;Montag - Freitag;04:30;04:45;0.05556
Sommer;Montag - Freitag;04:45;05:00;0.04792;;Übergangszeit;Montag - Freitag;04:45;05:00;0.05256;;Winter;Montag - Freitag;04:45;05:00;0.05608
Sommer;Montag - Freitag;05:00;05:15;0.04892;;Übergangszeit;Montag - Freitag;05:00;05:15;0.05384;;Winter;Montag - Freitag;05:00;05:15;0.05724
Sommer;Montag - Freitag;05:15;05:30;0.05068;;Übergangszeit;Montag - Freitag;05:15;05:30;0.05588;;Winter;Montag - Freitag;05:15;05:30;0.05936
Sommer;Montag - Freitag;05:30;05:45;0.05336;;Übergangszeit;Montag - Freitag;05:30;05:45;0.0592;;Winter;Montag - Freitag;05:30;05:45;0.06276
Sommer;Montag - Freitag;05:45;06:00;0.05724;;Übergangszeit;Montag - Freitag;05:45;06:00;0.06424;;Winter;Montag - Freitag;05:45;06:00;0.06776
Sommer;Montag - Freitag;06:00;06:15;0.06276;;Übergangszeit;Montag - Freitag;06:00;06:15;0.07156;;Winter;Montag - Freitag;06:00;06:15;0.07484
Sommer;Montag - Freitag;06:15;06:30;0.07116;;Übergangszeit;Montag - Freitag;06:15;06:30;0.08192;;Winter;Montag - Freitag;06:15;06:30;0.08492
Sommer;Montag - Freitag;06:30;06:45;0.08404;;Übergangszeit;Montag - Freitag;06:30;06:45;0.09632;;Winter;Montag - Freitag;06:30;06:45;0.09896
Sommer;Montag - Freitag;06:45;07:00;0.1028;;Übergangszeit;Montag - Freitag;06:45;07:00;0.11568;;Winter;Montag - Freitag;06:45;07:00;0.118
Sommer;Montag - Freitag;07:00;07:15;0.12812;;Übergangszeit;Montag - Freitag;07:00;07:15;0.14028;;Winter;Montag - Freitag;07:00;07:15;0.14252
Sommer;Montag - Freitag;07:15;07:30;0.15692;;Übergangszeit;Montag - Freitag;07:15;07:30;0.16812;;Winter;Montag - Freitag;07:15;07:30;0.17088
Sommer;Montag - Freitag;07:30;07:45;0.18524;;Übergangszeit;Montag - Freitag;07:30;07:45;0.19664;;Winter;Montag - Freitag;07:30;07:45;0.20084
Sommer;Montag - Freitag;07:45;08:00;0.20912;;Übergangszeit;Montag - Freitag;07:45;08:00;0.22316;;Winter;Montag - Freitag;07:45;08:00;0.23016
Sommer;Montag - Freitag;08:00;08:15;0.22524;;Übergangszeit;Montag - Freitag;08:00;08:15;0.24508;;Winter;Montag - Freitag;08:00;08:15;0.25644
Sommer;Montag - Freitag;08:15;08:30;0.23264;;Übergangszeit;Montag - Freitag;08:15;08:30;0.25964;;Winter;Montag - Freitag;08:15;08:30;0.27636
Sommer;Montag - Freitag;08:30;08:45;0.23088;;Übergangszeit;Montag - Freitag;08:30;08:45;0.26416;;Winter;Montag - Freitag;08:30;08:45;0.28628
Sommer;Montag - Freitag;08:45;09:00;0.21964;;Übergangszeit;Montag - Freitag;08:45;09:00;0.25588;;Winter;Montag - Freitag;08:45;09:00;0.28272
Sommer;Montag - Freitag;09:00;09:15;0.1994;;Übergangszeit;Montag - Freitag;09:00;09:15;0.2336;;Winter;Montag - Freitag;09:00;09:15;0.2638
Sommer;Montag - Freitag;09:15;09:30;0.17408;;Übergangszeit;Montag - Freitag;09:15;09:30;0.20256;;Winter;Montag - Freitag;09:15;09:30;0.23436
Sommer;Montag - Freitag;09:30;09:45;0.14844;;Übergangszeit;Montag - Freitag;09:30;09:45;0.16952;;Winter;Montag - Freitag;09:30;09:45;0.20112
Sommer;Montag - Freitag;09:45;10:00;0.12736;;Übergangszeit;Montag - Freitag;09:45;10:00;0.14136;;Winter;Montag - Freitag;09:45;10:00;0.17056
Sommer;Montag - Freitag;10:00;10:15;0.1144;;Übergangszeit;Montag - Freitag;10:00;10:15;0.12328;;Winter;Montag - Freitag;10:00;10:15;0.14808
Sommer;Montag - Freitag;10:15;10:30;0.10872;;Übergangszeit;Montag - Freitag;10:15;10:30;0.11428;;Winter;Montag - Freitag;10:15;10:30;0.13364
