Koordinatensystem : Lambert konform konisch
Rechtswert        : 3885500 Meter
Hochwert          : 2480500 Meter
Hoehenlage        : 120 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3885500 2480500  1  1  1   6.4  988 214  4.5 7  5.6  90    0    0 285 -329  0
3885500 2480500  1  1  2   4.9  988 213  3.7 7  5.2  94    0    0 283 -329  0
3885500 2480500  1  1  3   3.7  988 217  3.4 7  4.9  96    0    0 295 -328  0
3885500 2480500  1  1  4   3.5  988 229  3.8 7  4.9  96    0    0 314 -328  0
3885500 2480500  1  1  5   3.4  989 238  4.0 7  4.8  96    0    0 321 -327  0
3885500 2480500  1  1  6   3.2  989 251  4.2 6  4.8  97    0    0 304 -327  0
3885500 2480500  1  1  7   3.7  990 246  3.6 7  4.7  95    0    0 294 -327  0
3885500 2480500  1  1  8   3.8  990 224  3.2 7  4.7  93    0    0 303 -326  0
3885500 2480500  1  1  9   4.0  991 215  3.7 7  4.7  91    0    0 303 -326  0
3885500 2480500  1  1 10   4.3  991 220  3.6 6  4.7  91    0   51 296 -327  0
3885500 2480500  1  1 11   5.0  992 215  4.3 7  4.9  91    0   70 298 -328  0
3885500 2480500  1  1 12   5.8  992 221  4.3 7  5.2  91    6  115 309 -331  0
3885500 2480500  1  1 13   7.3  992 212  3.0 4  5.2  84   60  149 291 -334  0
3885500 2480500  1  1 14   7.4  991 202  4.2 4  4.8  74   76  136 273 -336  0
3885500 2480500  1  1 15   7.8  991 175  4.1 3  4.6  70   96   91 266 -335  0
3885500 2480500  1  1 16   6.9  991 194  3.4 5  4.6  71   28   52 272 -334  0
3885500 2480500  1  1 17   6.9  991 148  2.9 7  4.6  73    0    3 299 -330  0
3885500 2480500  1  1 18   6.5  992  89  2.7 7  4.6  74    0    0 314 -326  0
3885500 2480500  1  1 19   6.2  992 131  3.5 7  4.6  76    0    0 313 -325  0
3885500 2480500  1  1 20   5.5  993  99  2.1 7  4.6  78    0    0 311 -323  0
