Koordinatensystem : Lambert konform konisch
Rechtswert        : 3885500 Meter
Hochwert          : 2480500 Meter
Hoehenlage        : 120 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3885500 2480500  1  1  1   3.8  988 204  2.3 6  4.8  94    0    0 285 -329  0
3885500 2480500  1  1  2   4.0  988 205  2.5 6  4.8  94    0    0 283 -329  0
3885500 2480500  1  1  3   3.7  988 202  3.3 7  4.9  95    0    0 295 -328  0
3885500 2480500  1  1  4   3.5  988 235  4.4 8  4.9  97    0    0 314 -328  0
3885500 2480500  1  1  5   3.3  989 248  4.3 8  4.9  98    0    0 321 -327  0
3885500 2480500  1  1  6   3.2  989 251  4.2 6  4.8  97    0    0 304 -327  0
3885500 2480500  1  1  7   3.7  990 246  3.6 7  4.7  95    0    0 294 -327  0
3885500 2480500  1  1  8   3.8  990 224  3.2 7  4.7  93    0    0 303 -326  0
3885500 2480500  1  1  9   4.0  991 215  3.7 7  4.7  91    0    0 303 -326  0
3885500 2480500  1  1 10   4.3  991 220  3.6 6  4.7  91    0   51 296 -327  0
3885500 2480500  1  1 11   5.0  992 215  4.3 7  4.9  91    0   70 298 -328  0
3885500 2480500  1  1 12   5.8  992 221  4.3 7  5.2  91    6  115 309 -331  0
3885500 2480500  1  1 13   7.3  992 212  3.0 4  5.2  84   60  149 291 -334  0
3885500 2480500  1  1 14   7.4  991 202  4.2 4  4.8  74   76  136 273 -336  0
3885500 2480500  1  1 15   7.8  991 175  4.1 3  4.6  70   96   91 266 -335  0
3885500 2480500  1  1 16   6.9  991 194  3.4 5  4.6  71   28   52 272 -334  0
3885500 2480500  1  1 17   6.9  991 148  2.9 7  4.6  73    0    3 299 -330  0
3885500 2480500  1  1 18   6.5  992  89  2.7 7  4.6  74    0    0 314 -326  0
3885500 2480500  1  1 19   6.2  992 131  3.5 7  4.6  76    0    0 313 -325  0
3885500 2480500  1  1 20   5.5  993  99  2.1 7  4.6  78    0    0 311 -323  0
3885500 2480500  1  1 21   5.3  993 165  2.3 7  4.5  79    0    0 311 -322  0
3885500 2480500  1  1 22   4.6  994 219  1.0 8  4.5  82    0    0 316 -320  0
3885500 2480500  1  1 23   4.3  995   0  1.8 8  4.5  85    0    0 322 -318  0
3885500 2480500  1  1 24   4.3  995  44  1.8 5  4.6  87    0    0 300 -318  0
3885500 2480500  1  2  1   4.2  996  43  1.8 8  4.5  86    0    0 298 -318  0
3885500 2480500  1  2  2   3.9  996  72  1.2 6  4.4  86    0    0 303 -318  0
3885500 2480500  1  2  3   3.8  997  75  2.2 2  4.5  88    0    0 247 -317  0
3885500 2480500  1  2  4   3.4  998  77  1.9 5  4.4  89    0    0 231 -317  0
3885500 2480500  1  2  5   3.2  998  57  2.7 7  4.4  89    0    0 278 -317  0
3885500 2480500  1  2  6   3.3  999  52  3.4 7  4.3  89    0    0 297 -317  0
3885500 2480500  1  2  7   2.8 1000  39  2.2 6  4.3  90    0    0 288 -317  0
3885500 2480500  1  2  8   2.7 1001  42  2.7 6  4.3  92    0    0 276 -317  0
3885500 2480500  1  2  9   2.7 1001  41  2.7 7  4.4  94    0    0 285 -317  0
3885500 2480500  1  2 10   2.9 1002  61  2.0 8  4.5  96    1   51 305 -317  0
3885500 2480500  1  2 11   3.4 1003  19  1.7 8  4.6  95    0   61 314 -319  0
3885500 2480500  1  2 12   4.0 1004 333  1.2 7  4.6  92    2  101 308 -323  0
3885500 2480500  1  2 13   5.0 1004 295  1.4 6  4.6  87   11  123 296 -327  0
3885500 2480500  1  2 14   5.2 1005 204  1.7 7  4.6  83    2   94 296 -331  0
3885500 2480500  1  2 15   5.3 1005 184  2.4 6  4.5  82   12   69 297 -331  0
3885500 2480500  1  2 16   5.2 1006 215  1.8 5  4.6  82   14   45 283 -330  0
3885500 2480500  1  2 17   4.0 1007 229  1.2 3  4.4  84    0    6 258 -328  0
3885500 2480500  1  2 18   3.5 1008 356  2.1 4  4.4  88    0    0 251 -325  0
3885500 2480500  1  2 19   3.1 1008   8  0.9 6  4.4  91    0    0 272 -324  0
3885500 2480500  1  2 20   4.2 1009 296  2.3 6  4.4  88    0    0 287 -324  0
3885500 2480500  1  2 21   3.6 1009 349  3.2 6  4.3  85    0    0 286 -323  0
3885500 2480500  1  2 22   3.5 1010 346  2.7 5  4.1  83    0    0 278 -322  0
3885500 2480500  1  2 23   3.1 1010 351  0.9 6  4.0  84    0    0 277 -321  0
3885500 2480500  1  2 24   2.7 1010 242  0.8 5  4.0  86    0    0 275 -320  0
3885500 2480500  1  3  1   2.0 1011 246  1.2 8  4.0  88    0    0 286 -319  0
3885500 2480500  1  3  2   2.1 1011 292  1.4 6  4.0  90    0    0 292 -319  0
3885500 2480500  1  3  3   2.5 1011 260  1.9 8  4.0  90    0    0 291 -319  0
3885500 2480500  1  3  4   2.4 1012 309  1.3 5  4.0  89    0    0 285 -319  0
3885500 2480500  1  3  5   2.3 1012 351  0.6 4  4.0  90    0    0 258 -319  0
3885500 2480500  1  3  6   2.1 1012 357  0.4 7  4.0  91    0    0 269 -318  0
3885500 2480500  1  3  7   2.1 1012 326  1.3 8  4.1  92    0    0 294 -317  0
3885500 2480500  1  3  8   2.2 1013 329  1.6 7  4.1  93    0    0 294 -316  0
3885500 2480500  1  3  9   2.4 1013 323  1.2 7  4.2  94    0    0 288 -316  0
3885500 2480500  1  3 10   2.8 1014 333  0.0 8  4.3  93    0   41 294 -316  0
3885500 2480500  1  3 11   3.1 1014   1  1.0 8  4.2  90    0   46 300 -320  0
3885500 2480500  1  3 12   2.9 1015 347  1.5 8  4.2  90    0   49 299 -324  0
3885500 2480500  1  3 13   3.2 1015   6  1.4 8  4.3  91    0   58 299 -327  0
3885500 2480500  1  3 14   3.6 1015  18  1.0 7  4.3  90    0   70 295 -329  0
3885500 2480500  1  3 15   3.9 1014   4  1.0 7  4.4  88    0   61 291 -329  0
