Koordinatensystem : Lambert konform konisch
Rechtswert        : 3885500 Meter
Hochwert          : 2480500 Meter
Hoehenlage        : 120 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3885500 2480500  1  1  1   2.9 1000 141  3.5 8  4.3  84    0    0 286 -309  1
3885500 2480500  1  1  2   0.6 1000 112  3.2 8  3.4  81    0    0 288 -308  1
3885500 2480500  1  1  3  -1.0  999  89  3.0 8  2.7  77    0    0 288 -307  1
3885500 2480500  1  1  4  -0.8  998  81  3.0 8  2.7  76    0    0 290 -306  1
3885500 2480500  1  1  5  -0.6  997  76  2.6 8  2.7  75    0    0 292 -306  1
3885500 2480500  1  1  6  -0.5  996  66  2.2 7  2.7  74    0    0 288 -305  1
3885500 2480500  1  1  7  -0.7  996  74  1.8 8  2.9  80    0    0 290 -306  1
3885500 2480500  1  1  8  -0.5  995 344  1.0 7  3.1  84    0    0 292 -308  1
3885500 2480500  1  1  9  -0.2  994  71  1.6 7  3.2  84    0    0 288 -311  1
3885500 2480500  1  1 10   0.3  994  80  1.7 7  3.2  83    0   35 290 -312  1
3885500 2480500  1  1 11   0.6  994 348  1.0 7  3.3  82    0   64 291 -314  1
3885500 2480500  1  1 12   1.1  993 325  1.8 6  3.4  83    1   99 290 -315  1
3885500 2480500  1  1 13   1.4  993 309  1.8 7  3.7  87    0   79 292 -315  1
3885500 2480500  1  1 14   1.8  993  50  2.4 8  3.6  83    0   38 304 -315  1
3885500 2480500  1  1 15   2.2  992 128  1.2 7  3.4  76    0   39 305 -315  1
3885500 2480500  1  1 16   2.3  991 181  1.7 8  3.5  77    0   26 306 -315  1
3885500 2480500  1  1 17   2.2  991 184  1.7 8  3.7  81    0    4 316 -315  1
3885500 2480500  1  1 18   1.9  991 213  1.8 8  3.8  85    0    0 317 -315  1
3885500 2480500  1  1 19   2.4  990 226  1.1 7  3.8  84    0    0 301 -319  1
3885500 2480500  1  1 20   2.3  990 200  2.0 8  3.8  82    0    0 300 -325  1
3885500 2480500  1  1 21   2.3  990 222  1.6 8  3.9  84    0    0 319 -330  1
3885500 2480500  1  1 22   2.3  990 230  0.9 8  4.0  86    0    0 319 -335  1
3885500 2480500  1  1 23   2.2  990 196  3.1 8  4.1  91    0    0 319 -339  1
